sample.id	date	temp	spc	oxygen	salinity	secchi	ph	chla	tp	tn	orp	air.temp
69	8/8/14	24.5	0.467	8.2	0.22	1.9	8.45	84.17	30.4	0.813	144.1	19
70	8/15/14	25.02	0.47	9.2	0.23	1.6	8.6		28.6	0.899		22
71	8/23/14	27.24	0.475	7.04	0.23	2.4	8.36	33.72	25.7	0.656		30
72	8/29/14	28.61	0.472	7.45	0.22	2.3	8.48	58.6	36.5	1.21	110	31
73	9/6/14	25.62	0.41	9.64	0.2	1.2	8.87	299.3	52.7	1.6	102.5	20
74	9/12/14	22.13	0.43	6.17	0.2	1.3	8.01	211.75	125	1.07	103.6	17
75	9/19/14	20.8	0.442	8.05	0.21	1	9.4	299.5	65.1	1.62	109.1	23
76	9/26/14	19.23	0.448	8.26	0.22	1	8.48	324.15			109.5	27
77	10/4/14	17.94	0.454	6.24	0.22	1	8.07	307.62	171	2.51	131.3	9
78	10/11/14	15.48	0.477	5.56	0.23	0.9	7.7	245.62	31	1.39	140.8	14
79	10/17/14	15.49	0.448	6.74	0.22	0.8	7.81	253.09	19.1	2	149.8	20
80	10/25/14	13.42	0.494	13.25	0.24	1	7.13	236.11	64.4	2.07	180.6	16
81	10/31/14	12.69	0.494	11.3	0.24	0.8	7.02	138.85	159	2.48	177.7	3.9
82	11/7/14	10.36	0.517	10.05	0.25	0.8	6.89	187.7	29.4	1.31	161.1	2.2
83	11/14/14	8.03	0.545	11.55	0.27	1.1	7.29	155.16	39.8	1.32	-41.8	-1
84	11/21/14	4.55	0.577	11.53	0.28	1.3	7.28	169.64	41.1	1.77	-17.6	2
85	11/29/14	4.08	0.552	15.37	0.27	0.8	7.36	523.56	46.9	1.59	-20.8	6.1
86	12/6/14	6.43	0.341	17.5	0.16	0.4	7.47	376.03	55.3	1.91	-19.5	5
87	12/13/14	4.16	0.466	20.51	0.22	0.8	7.91	282.91	42.8	1.85	-16.7	8
88	12/20/14	3.98	0.51	22.24	0.25	1	7.87	407.23	47.8	1.91	17.8	1
89	12/26/14	4.49	0.519	18.78	0.25	1.2	7.26	181.66	27.8	1.81	10.7	13
90	1/3/15	3.66	0.387	20.25	0.19	0.3	7.4	125.01	96.1	2.06	5.2	10
91	1/9/15	2.21	0.479	21.2	0.23	0.6	7.14	205.99	40.9	1.46	8.2	-11.6
92	1/16/15	4.58	0.53	10.03	0.26	1.6	7.26	62.4	50.7	1.5	11	8
93	1/24/15	4.74	0.528	15.44	0.25	1.9	7.56	50.47	72	1.33	17	2
94	1/30/15	4.89	0.523	17.88	0.25	1.6	7.47	127.15	34.7	1.47	9.1	2
95	2/6/25	4.03	0.532	19.56	0.26	1.6	7.38	64.21	16.3	1.31	9.4	-4
96	2/14/15	4.36	0.543	19.04	0.26	1.5	7.39	152.85	31.9	1.37	8.8	-2
97	2/21/15	4.11	0.559	18.43	0.27	1	7.39	223.66	45.6	1.67	18	0
98	2/28/15	4.38	0.574	19.05	0.28	1.3	7.56	138.55	44.2	1.21	6.4	-2
99	3/7/15	4.63	0.57	18.8	0.28	1.3	7.03	95.14	27.8	1.33	37.3	7
100	3/12/15	5.19	0.566	18.41	0.27	1.3	7.16	76.85	28.5	1.17	35.1	7
101	3/22/15	9.65	0.6	16.85	0.29	1.4	7.64	47.5	33.6	1.23	18.5	12
102	3/27/15	7.72	0.598	17.28	0.29	1.6	7.67	41.99	23.6	1.16	18.6	1
103	4/4/15	12.98	0.592	12.89	0.29	1.3	7.82	38.43	22.8	1.31	21.5	12
104	4/11/15	14.65	0.52	17.02	0.25	0.5	8.14	205.94	94.5	1.72	16.7	16
105	4/19/15	16.78	0.558	12.31	0.27	1.5	8.16	38.96	16.2	1.1	8.6	17
106	4/26/15	15.29	0.547	13.62	0.27	1.6	8.21	50.15	28	0.994	6	14
107	5/3/15	18.96	0.562	12.96	0.27	1.9	8.2	12.61	17.2	0.918	5.5	25
108	5/11/15	23.52	0.574	9.12	0.28	2.6	8.04	12.84	15.7	0.859	6.1	23
109	5/17/15	22.99	0.572	10.12	0.28	2.9	7.97	17.97	21.8	0.791	21.9	25
110	5/23/15	20.07	0.586	10.17	0.28	2.6	7.85	11.27	8.26		22.1	24
111	5/29/15	23.15	0.585	7.5	0.28	3	7.82	23.89	20.1	0.447	14.2	18
112	6/6/15	22.52	0.581	9.51	0.28	2.2	7.96	36.84	20.3	0.407	20.9	23
113	6/12/15	26.1	0.566	8.67	0.27	2	7.98	48.27	16.6	0.44	15.3	26
114	6/21/15	25.23	0.446	8.95	0.21	1	8.18	110.2	57.7	0.932	33.4	27
115	6/29/15	22.6	0.457	6.82	0.22	2.1	7.1	75.54	28	0.892	39.8	23
116	7/6/15	25.79	0.458	8.36	0.22	1.8	8.53	128.02	20.9	0.996	27.2	28
117	7/11/15					1.5		213.5	32.5	0.917		23.5
118	7/18/15	27.16	0.513	10.5	0.25	1	8.27	267.36	110	1.3	32.1	24.94
119	7/26/15	27.25	0.535	12.57	0.26	1.4	8.56	132.97	42.1	0.89	39.8	23.93
120	8/2/15	28.73	0.569	10.18	0.27	1.5	8.32	72.94	40.2	0.715	40.4	25.42
121	8/17/15	25.76	532	9.71	0.26	1.4	8.38	137.72	21.6	0.755	22.9	25.86
122	9/2/15	25.19	0.564	8.1	0.27	2.2	7.92	76.36	18.3	0.594	225.2	24.74
123	9/7/15	25.86	0.566	8.55	0.27	2.2	7.92	64.77	10.8	0.6	14.8	27.33
124	9/14/15	21.97	0.588	6.89	0.29	1.5	7.58	127.97	15.6	0.736	31.1	20.93
